AID,Author_Name,IID,Institute_Name,RelationshipType
1,C. Wohlin,1,"Dept. of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",AffiliatedWith
2,R. Dammers,2,"Engineering Efficiency, ETAS - Empowering Tomorrow's Automotive Software, Stuttgard, Germany",AffiliatedWith
3,F. Sarro,3,"Department of Computer Science, University College London, London, United Kingdom",AffiliatedWith
4,M. Nayebi,4,"York University, Toronto, Canada; German Research Center for Artificial Intelligence, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrucken, Germany; University of Calgary, Calgary, Canada",AffiliatedWith
1530, K. Kuznetsov,4,"York University, Toronto, Canada; German Research Center for Artificial Intelligence, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrucken, Germany; University of Calgary, Calgary, Canada",AffiliatedWith
2694, A. Zeller,4,"York University, Toronto, Canada; German Research Center for Artificial Intelligence, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrucken, Germany; University of Calgary, Calgary, Canada",AffiliatedWith
1786, G. Ruhe,4,"York University, Toronto, Canada; German Research Center for Artificial Intelligence, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrucken, Germany; University of Calgary, Calgary, Canada",AffiliatedWith
5,T. Huang,5,"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States",AffiliatedWith
1531, V. Kaulagi,5,"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States",AffiliatedWith
2695, M. B. Hosseini,5,"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States",AffiliatedWith
3378, T. Breaux,5,"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States",AffiliatedWith
6,A. Agrawal,6,"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",AffiliatedWith
1532, B. Zhang,6,"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",AffiliatedWith
2696, Y. Shivalingaiah,6,"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",AffiliatedWith
1741, M. Vierhauser,6,"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",AffiliatedWith
1745, J. Cleland-Huang,6,"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",AffiliatedWith
7,K. Großer,7,"Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany",AffiliatedWith
1533, M. Rukavitsyna,7,"Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany",AffiliatedWith
2697, J. Jürjens,7,"Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany",AffiliatedWith
8,O. Amaral,8,"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg",AffiliatedWith
1534, S. Abualhaija,8,"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg",AffiliatedWith
2698, L. Briand,8,"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg",AffiliatedWith
9,N. -T. Nguyen,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
1535, K. Lima,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
2699, A. M. Skålvik,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
1870, R. Heldal,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
1564, E. Knauss,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
3731, T. D. Oyetoyan,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
3441, P. Pelliccione,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
3822, C. Sætre,9,"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",AffiliatedWith
10,M. Ahrens,10,"Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany; Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany",AffiliatedWith
1536, L. Nagel,10,"Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany; Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany",AffiliatedWith
11,I. Ayala,11,"Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain",AffiliatedWith
1537, M. Amor,11,"Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain",AffiliatedWith
2700, L. Fuentes,11,"Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain",AffiliatedWith
12,S. Das,12,"Ca’ Foscari University, Venice, Italy; IIIT Vadodara, Gandhinagar, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India",AffiliatedWith
1538, N. Deb,12,"Ca’ Foscari University, Venice, Italy; IIIT Vadodara, Gandhinagar, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India",AffiliatedWith
2701, A. Cortesi,12,"Ca’ Foscari University, Venice, Italy; IIIT Vadodara, Gandhinagar, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India",AffiliatedWith
1834, N. Chaki,12,"Ca’ Foscari University, Venice, Italy; IIIT Vadodara, Gandhinagar, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India",AffiliatedWith
13,M. Sihag,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
