PID,Title,MID,Major_Name,RelationshipType
1,Do We Publish Credible Evidence?,1,Requirements Engineering,CategorizedAs
2,A Paradigm Shift in the Automotive Industry and its Requirements,1,Requirements Engineering,CategorizedAs
3,Search-Based Software Engineering in the Era of Modern Software Systems,1,Requirements Engineering,CategorizedAs
4,User Driven Functionality Deletion for Mobile Apps,1,Requirements Engineering,CategorizedAs
5,Mobile Application Privacy Risk Assessments from User-authored Scenarios,1,Requirements Engineering,CategorizedAs
6,A Requirements-Driven Platform for Validating Field Operations of Small Uncrewed Aerial Vehicles,1,Requirements Engineering,CategorizedAs
7,A Comparative Evaluation of Requirement Template Systems,1,Requirements Engineering,CategorizedAs
8,ML-Based Compliance Verification of Data Processing Agreements against GDPR,1,Requirements Engineering,CategorizedAs
9,Synthesized Data Quality Requirements and Roadmap for Improving Reusability of In-Situ Marine Data,1,Requirements Engineering,CategorizedAs
10,All Eyes on Traceability: An Interview Study on Industry Practices and Eye Tracking Potential,1,Requirements Engineering,CategorizedAs
11,Analysis and optimisation of SPL products using goal models,1,Requirements Engineering,CategorizedAs
12,Zero-shot Learning for Named Entity Recognition in Software Specification Documents,1,Requirements Engineering,CategorizedAs
13,A Data-Driven Approach for Finding Requirements Relevant Feedback from TikTok and YouTube,1,Requirements Engineering,CategorizedAs
14,Quantifying Requirements Technical Debt: A Systematic Mapping Study and a Conceptual Model,1,Requirements Engineering,CategorizedAs
15,Prompting Creative Requirements via Traceable and Adversarial Examples in Deep Learning,1,Requirements Engineering,CategorizedAs
16,An Experiment on the Effects of Using Color to Visualize Requirements Analysis Tasks,1,Requirements Engineering,CategorizedAs
17,Eliciting the Double-edged Impact of Digitalisation: a Case Study in Rural Areas,1,Requirements Engineering,CategorizedAs
18,A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts,1,Requirements Engineering,CategorizedAs
19,RClassify: Combining NLP and ML to Classify Rules from Requirements Specifications Documents,1,Requirements Engineering,CategorizedAs
20,Shaping a GAIA-X Data Ecosystem through Innovation Modeling,1,Requirements Engineering,CategorizedAs
21,Requirements Classification for Smart Allocation: A Case Study in the Railway Industry,1,Requirements Engineering,CategorizedAs
22,Leveraging Natural Language Processing for a Consistency Checking Toolchain of Automotive Requirements,1,Requirements Engineering,CategorizedAs
23,Traceability Evaluation in Requirements Engineering According to Automotive SPICE,1,Requirements Engineering,CategorizedAs
24,Taming Cross-Tool Traceability in the Wild,1,Requirements Engineering,CategorizedAs
25,Requirements Analysis of Variability Constraints in a Configurable Flight Software System,1,Requirements Engineering,CategorizedAs
26,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,1,Requirements Engineering,CategorizedAs
27,Application of the Sustainability Awareness Framework in Agile Software Development,1,Requirements Engineering,CategorizedAs
28,Boosting GUI Prototyping with Diffusion Models,1,Requirements Engineering,CategorizedAs
29,Visualizations for User-supported State Space Exploration of Goal Models,1,Requirements Engineering,CategorizedAs
30,"Accountable Design for Individual, Societal, and Regulated Values in the UAV Domain",1,Requirements Engineering,CategorizedAs
31,ARCADE: A Framework for Integrated Management of Safety Assurance Information,1,Requirements Engineering,CategorizedAs
32,Multi-Modal Emotion Recognition for Enhanced Requirements Engineering: A Novel Approach,1,Requirements Engineering,CategorizedAs
33,Can Videos be Used to Communicate Non-functional Requirements? An Early Empirical Investigation,1,Requirements Engineering,CategorizedAs
34,Requirements Engineering Knowledge as a Foundation for a Sustainability-Aware Scrum Framework,1,Requirements Engineering,CategorizedAs
35,Towards Legal Contract Formalization with Controlled Natural Language Templates,1,Requirements Engineering,CategorizedAs
36,Discovering Runtime Requirements from User Interactions: Ideas and Preliminary Studies,1,Requirements Engineering,CategorizedAs
37,Handling Uncertainty in the Development of Conversational Assistants with RELAXed User Stories,1,Requirements Engineering,CategorizedAs
38,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,1,Requirements Engineering,CategorizedAs
39,Understanding Fairness Requirements for ML-based Software,1,Requirements Engineering,CategorizedAs
40,Managing Human Factors in Automated Vehicle Development: Towards Challenges and Practices,1,Requirements Engineering,CategorizedAs
41,PersonaGen: A Tool for Generating Personas from User Feedback,1,Requirements Engineering,CategorizedAs
42,NFRNet-LT:Improving Accuracy in Extracting Long-tailed Non-functional Requirements,1,Requirements Engineering,CategorizedAs
43,Towards Locating Requirements within Agile Development Artifacts,1,Requirements Engineering,CategorizedAs
44,PF4MD: A Microservice Decomposition Tool Combining Problem Frames,1,Requirements Engineering,CategorizedAs
45,NL2PD: A Tool for Problem Diagram Generation from Requirements in Natural Language,1,Requirements Engineering,CategorizedAs
46,"A Tool for Security Risk Assessment for APT Attacks: using Scenarios, Security Requirements, and Evidence",1,Requirements Engineering,CategorizedAs
47,AutoReco: A Tool for Recommending Requirements for their Non-Conformance with Requirement Templates (RTs),1,Requirements Engineering,CategorizedAs
48,ModeLLer - A Prototype to Support Requirements Elicitation in Co-Design Environments,1,Requirements Engineering,CategorizedAs
49,ILLOD Replication Package: An Open-Source Framework for Abbreviation-Expansion Pair Detection and Term Consolidation in Requirements,1,Requirements Engineering,CategorizedAs
50,An Investigation of Requirements Engineering Teaching in Higher Education in Switzerland,1,Requirements Engineering,CategorizedAs
51,Requirements Engineering for Explainable AI,1,Requirements Engineering,CategorizedAs
52,Enhancing Startup Success Rates: Towards a Pragmatic Framework for Product Managers (PFPM),1,Requirements Engineering,CategorizedAs
53,Leveraging User Feedback for Requirements Through Trend and Narrative Analysis,1,Requirements Engineering,CategorizedAs
54,A Requirements-Driven Conceptual Modeling Framework for Responsible AI,1,Requirements Engineering,CategorizedAs
55,Enhancing Requirements Elicitation through App Stores Mining: Health Monitoring App Case Study,1,Requirements Engineering,CategorizedAs
56,A Case Study of Building Shared Understanding of Non-Functional Requirements in a Remote Software Organization,1,Requirements Engineering,CategorizedAs
57,A Divide & Concur Approach to Collaborative Goal Modeling with Merge in Early-RE,1,Requirements Engineering,CategorizedAs
58,Automated Detection of Typed Links in Issue Trackers,1,Requirements Engineering,CategorizedAs
59,Automated Question Answering for Improved Understanding of Compliance Requirements: A Multi-Document Study,1,Requirements Engineering,CategorizedAs
60,Automatic Terminology Extraction and Ranking for Feature Modeling,1,Requirements Engineering,CategorizedAs
61,CADE: The Missing Benchmark in Evaluating Dataset Requirements of AI-enabled Software,1,Requirements Engineering,CategorizedAs
62,Enriching Vision Videos with Text: An Eye Tracking Study,1,Requirements Engineering,CategorizedAs
63,Hierarchical Assessment of Safety Requirements for Configurations of Autonomous Driving Systems,1,Requirements Engineering,CategorizedAs
64,Legal Accountability as Software Quality: A U.S. Data Processing Perspective,1,Requirements Engineering,CategorizedAs
65,Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,1,Requirements Engineering,CategorizedAs
66,Narratives: the Unforeseen Influencer of Privacy Concerns,1,Requirements Engineering,CategorizedAs
67,Requirements on Explanations: A Quality Framework for Explainability,1,Requirements Engineering,CategorizedAs
68,RESAM: Requirements Elicitation and Specification for Deep-Learning Anomaly Models with Applications to UAV Flight Controllers,1,Requirements Engineering,CategorizedAs
69,The Benefits of Pre-Requirements Specification Traceability,1,Requirements Engineering,CategorizedAs
70,The Implications of ‘Soft’ Requirements,1,Requirements Engineering,CategorizedAs
71,What’s Inside a Cluster of Software User Feedback: A Study of Characterisation Methods,1,Requirements Engineering,CategorizedAs
72,Creating Consistent Privacy Notices by Translating Code Segments into Privacy Captions,1,Requirements Engineering,CategorizedAs
73,Developing A Privacy Risk Analysis Framework for Heterogeneous IoT Network,1,Requirements Engineering,CategorizedAs
74,Documenting Regulatory Requirements Decision-Making as a Compliance Concern,1,Requirements Engineering,CategorizedAs
75,Evidence-driven Data Requirements Engineering and Data Uncertainty Assessment of Machine Learning-based Safety-critical Systems,1,Requirements Engineering,CategorizedAs
76,Towards a Decision Support Tool to Prescribe Recreation for Older Adults in Social Isolation (RxOSI),1,Requirements Engineering,CategorizedAs
77,A Box Analogy Technique (BoAT) for Agile-based Modelling of Business Processes,1,Requirements Engineering,CategorizedAs
78,DizSpec: Digitalization of Requirements Specification Documents to Automate Traceability and Impact Analysis,1,Requirements Engineering,CategorizedAs
79,AnnoteREI! A Tool for Transcribing and Annotating Requirements Elicitation Interviews,1,Requirements Engineering,CategorizedAs
80,A Tool For Software Requirement Allocation Using Artificial Intelligence Planning,1,Requirements Engineering,CategorizedAs
81,A User-friendly Semi-automatic iStar Modeling Approach,1,Requirements Engineering,CategorizedAs
82,BiStar: A Template-Based iStar Modeling Tool Combining Graphical and Textual Modeling,1,Requirements Engineering,CategorizedAs
