PID,Title,PVID,Venue_Name,RelationshipType
1,Do We Publish Credible Evidence?,1,IEEE Conferences,PublishedIn
2,A Paradigm Shift in the Automotive Industry and its Requirements,1,IEEE Conferences,PublishedIn
3,Search-Based Software Engineering in the Era of Modern Software Systems,1,IEEE Conferences,PublishedIn
4,User Driven Functionality Deletion for Mobile Apps,1,IEEE Conferences,PublishedIn
5,Mobile Application Privacy Risk Assessments from User-authored Scenarios,1,IEEE Conferences,PublishedIn
6,A Requirements-Driven Platform for Validating Field Operations of Small Uncrewed Aerial Vehicles,1,IEEE Conferences,PublishedIn
7,A Comparative Evaluation of Requirement Template Systems,1,IEEE Conferences,PublishedIn
8,ML-Based Compliance Verification of Data Processing Agreements against GDPR,1,IEEE Conferences,PublishedIn
9,Synthesized Data Quality Requirements and Roadmap for Improving Reusability of In-Situ Marine Data,1,IEEE Conferences,PublishedIn
10,All Eyes on Traceability: An Interview Study on Industry Practices and Eye Tracking Potential,1,IEEE Conferences,PublishedIn
11,Analysis and optimisation of SPL products using goal models,1,IEEE Conferences,PublishedIn
12,Zero-shot Learning for Named Entity Recognition in Software Specification Documents,1,IEEE Conferences,PublishedIn
13,A Data-Driven Approach for Finding Requirements Relevant Feedback from TikTok and YouTube,1,IEEE Conferences,PublishedIn
14,Quantifying Requirements Technical Debt: A Systematic Mapping Study and a Conceptual Model,1,IEEE Conferences,PublishedIn
15,Prompting Creative Requirements via Traceable and Adversarial Examples in Deep Learning,1,IEEE Conferences,PublishedIn
16,An Experiment on the Effects of Using Color to Visualize Requirements Analysis Tasks,1,IEEE Conferences,PublishedIn
17,Eliciting the Double-edged Impact of Digitalisation: a Case Study in Rural Areas,1,IEEE Conferences,PublishedIn
18,A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts,1,IEEE Conferences,PublishedIn
19,RClassify: Combining NLP and ML to Classify Rules from Requirements Specifications Documents,1,IEEE Conferences,PublishedIn
20,Shaping a GAIA-X Data Ecosystem through Innovation Modeling,1,IEEE Conferences,PublishedIn
21,Requirements Classification for Smart Allocation: A Case Study in the Railway Industry,1,IEEE Conferences,PublishedIn
22,Leveraging Natural Language Processing for a Consistency Checking Toolchain of Automotive Requirements,1,IEEE Conferences,PublishedIn
23,Traceability Evaluation in Requirements Engineering According to Automotive SPICE,1,IEEE Conferences,PublishedIn
24,Taming Cross-Tool Traceability in the Wild,1,IEEE Conferences,PublishedIn
25,Requirements Analysis of Variability Constraints in a Configurable Flight Software System,1,IEEE Conferences,PublishedIn
26,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,1,IEEE Conferences,PublishedIn
27,Application of the Sustainability Awareness Framework in Agile Software Development,1,IEEE Conferences,PublishedIn
28,Boosting GUI Prototyping with Diffusion Models,1,IEEE Conferences,PublishedIn
29,Visualizations for User-supported State Space Exploration of Goal Models,1,IEEE Conferences,PublishedIn
30,"Accountable Design for Individual, Societal, and Regulated Values in the UAV Domain",1,IEEE Conferences,PublishedIn
31,ARCADE: A Framework for Integrated Management of Safety Assurance Information,1,IEEE Conferences,PublishedIn
32,Multi-Modal Emotion Recognition for Enhanced Requirements Engineering: A Novel Approach,1,IEEE Conferences,PublishedIn
33,Can Videos be Used to Communicate Non-functional Requirements? An Early Empirical Investigation,1,IEEE Conferences,PublishedIn
34,Requirements Engineering Knowledge as a Foundation for a Sustainability-Aware Scrum Framework,1,IEEE Conferences,PublishedIn
35,Towards Legal Contract Formalization with Controlled Natural Language Templates,1,IEEE Conferences,PublishedIn
36,Discovering Runtime Requirements from User Interactions: Ideas and Preliminary Studies,1,IEEE Conferences,PublishedIn
37,Handling Uncertainty in the Development of Conversational Assistants with RELAXed User Stories,1,IEEE Conferences,PublishedIn
38,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,1,IEEE Conferences,PublishedIn
39,Understanding Fairness Requirements for ML-based Software,1,IEEE Conferences,PublishedIn
40,Managing Human Factors in Automated Vehicle Development: Towards Challenges and Practices,1,IEEE Conferences,PublishedIn
41,PersonaGen: A Tool for Generating Personas from User Feedback,1,IEEE Conferences,PublishedIn
42,NFRNet-LT:Improving Accuracy in Extracting Long-tailed Non-functional Requirements,1,IEEE Conferences,PublishedIn
43,Towards Locating Requirements within Agile Development Artifacts,1,IEEE Conferences,PublishedIn
44,PF4MD: A Microservice Decomposition Tool Combining Problem Frames,1,IEEE Conferences,PublishedIn
45,NL2PD: A Tool for Problem Diagram Generation from Requirements in Natural Language,1,IEEE Conferences,PublishedIn
