Institute_Name,IID
"Dept. of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",1
"Engineering Efficiency, ETAS - Empowering Tomorrow's Automotive Software, Stuttgard, Germany",2
"Department of Computer Science, University College London, London, United Kingdom",3
"York University, Toronto, Canada; German Research Center for Artificial Intelligence, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrucken, Germany; University of Calgary, Calgary, Canada",4
"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas, United States; School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States",5
"Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; Department of Computer Science, Saint Louis University, St Louis, MO, USA; LIT Secure and Correct Systems Lab, Johannes Kepler University Linz, Linz, Austria; Computer Science And Engineering, University Of Notre Dame, Notre Dame, IN, USA",6
"Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany; Institute for Software Technology (IST) University of Koblenz, Koblenz, Germany",7
"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg",8
"Western Norway University of Applied Sciences, Norway; Western Norway University of Applied Sciences, Norway; University of Bergen, Norway; Western Norway University of Applied Sciences, Norway; Chalmers | University of Gothenburg, Sweden; Western Norway University of Applied Sciences, Norway; Gran Sasso Science Institute, Italy; University of Bergen, Norway",9
"Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany; Software Engineering Group, Leibniz Universitat Hannover, Hannover, Germany",10
"Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain; Departamento de Lenguajes y Ciencias de la Computación, Universidad de Málaga ITIS Software, Universidad de Málaga, Málaga, Spain",11
"Ca’ Foscari University, Venice, Italy; IIIT Vadodara, Gandhinagar, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India",12
"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",13
"The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand",14
